id,downloads,likes,tags,created_at,last_modified,private,search_task
polodealvarado/zero-shot-text-classification,33,0,"task_categories:zero-shot-classification, task_categories:text-classification, language:en, license:mit, size_categories:1K<n<10K, format:parquet, format:optimized-parquet, modality:text",2026-02-28T18:02:59.000Z,2026-03-01T19:47:40.000Z,False,text-classification
argilla/end2end_textclassification_with_suggestions_and_responses,32,3,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:argilla",2023-11-29T15:15:26.000Z,2024-05-30T17:59:48.000Z,False,text-classification
slconnin/synthetic-text-classification-v2,29,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-07-29T02:54:06.000Z,2025-07-29T02:54:09.000Z,False,text-classification
cestwc/text_classification,28,0,"size_categories:1M<n<10M, format:parquet, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars, region:us",2024-02-06T12:04:39.000Z,2024-02-06T14:51:26.000Z,False,text-classification
slconnin/synthetic-text-classification-enhanced,25,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-07-29T12:46:57.000Z,2025-07-29T12:46:59.000Z,False,text-classification
slconnin/synthetic-text-classification-v2-5,24,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-07-29T14:29:30.000Z,2025-07-29T14:29:33.000Z,False,text-classification
Marmara-NLP/CSE4078S25_Grp6_Text_Classification,22,0,"size_categories:10K<n<100K, format:json, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-04-27T23:44:48.000Z,2025-06-04T18:43:47.000Z,False,text-classification
argilla/end2end_textclassification_with_metadata,21,1,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:argilla",2023-11-29T14:38:01.000Z,2024-05-30T17:57:33.000Z,False,text-classification
CesarLeblanc/plantbert_text_classification_dataset,19,0,"size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-02-19T11:33:43.000Z,2024-02-19T11:34:11.000Z,False,text-classification
AadityaJain/Fromula_text_classification,19,0,"size_categories:10K<n<100K, format:parquet, modality:image, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars",2024-10-31T20:49:34.000Z,2024-11-01T10:26:13.000Z,False,text-classification
emredeveloper/Turkish-Synthetic-Text-Classification,19,2,"task_categories:text-classification, language:tr, size_categories:1K<n<10K, format:parquet, format:optimized-parquet, modality:text, library:datasets, library:pandas",2025-09-24T12:11:45.000Z,2025-09-29T13:45:21.000Z,False,text-classification
makhmudlp/uzbek_text_classification_dataset,19,0,"task_categories:text-classification, task_ids:topic-classification, source_datasets:original, language:uz, license:cc-by-4.0, size_categories:n<1K, format:parquet, format:optimized-parquet",2026-02-22T18:52:00.000Z,2026-02-23T06:40:51.000Z,False,text-classification
priyank-m/original-copy-classification-text,18,0,"size_categories:1K<n<10K, format:parquet, modality:image, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2023-06-16T11:09:24.000Z,2023-06-16T11:09:33.000Z,False,text-classification
BioMike/fineweb-text-classification,15,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-05-19T15:11:30.000Z,2025-05-19T15:11:37.000Z,False,text-classification
dedsec995/Email_Classification_Text,15,0,"language:en, license:mit, size_categories:1K<n<10K, region:us, BERT, Email_Classfication, uncased",2025-06-30T00:41:01.000Z,2025-06-30T00:42:51.000Z,False,text-classification
LeoFeng/Text_classification,14,0,region:us,2022-04-07T15:53:17.000Z,2022-04-07T16:22:54.000Z,False,text-classification
ds-claudia/artificial_text_classification,14,0,"task_categories:text-classification, language:en, license:cc-by-4.0, size_categories:n<1K, format:parquet, modality:tabular, modality:text, library:datasets",2024-12-17T22:02:57.000Z,2024-12-17T23:40:48.000Z,False,text-classification
open-source-metrics/text-classification-checkpoint-downloads,13,0,"size_categories:1K<n<10K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2022-09-18T03:25:29.000Z,2022-11-09T17:58:34.000Z,False,text-classification
dvilasuero/synth-text-classification,13,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:distilabel",2024-10-09T14:16:09.000Z,2024-10-09T15:03:41.000Z,False,text-classification
Lots-of-LoRAs/task680_hope_edi_tamil_text_classification,13,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text",2024-12-30T23:08:33.000Z,2024-12-30T23:08:35.000Z,False,text-classification
rajendrabaskota/hc3-wiki-cleaned-text-for-domain-classification-roberta-tokenized-max-len-512,12,0,"size_categories:100K<n<1M, format:parquet, modality:tabular, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars",2023-10-06T08:46:38.000Z,2023-10-06T08:47:00.000Z,False,text-classification
carlosug/end2end_textclassification,12,0,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:argilla",2024-01-27T10:06:04.000Z,2024-01-27T10:06:08.000Z,False,text-classification
AIEnergyScore/text_classification,12,0,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-04-05T19:41:51.000Z,2024-04-05T19:42:09.000Z,False,text-classification
Anshi23/Food_Text_Classification,12,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-09-25T18:03:41.000Z,2024-09-26T17:13:20.000Z,False,text-classification
BraveOni/autotrain-data-2ch-text-classification,11,0,"task_categories:text-classification, region:us",2022-06-07T04:04:32.000Z,2022-06-07T04:07:26.000Z,False,text-classification
Metric-AI/ILUR-news-text-classification-corpus-formatted,11,2,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-03-13T12:11:22.000Z,2024-06-04T11:24:44.000Z,False,text-classification
mishrasaurabh847/covid-tweet-text-classification,11,0,"license:mit, size_categories:10K<n<100K, format:csv, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant",2024-03-17T19:13:57.000Z,2024-03-17T19:17:18.000Z,False,text-classification
Lots-of-LoRAs/task1646_dataset_card_for_catalonia_independence_corpus_text_classification,11,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text",2024-12-30T23:18:28.000Z,2024-12-30T23:18:31.000Z,False,text-classification
yoonholee/text-classification,11,0,"size_categories:1K<n<10K, format:parquet, format:optimized-parquet, modality:text, library:datasets, library:pandas, library:polars, library:mlcroissant",2025-10-20T23:22:27.000Z,2025-11-29T22:02:05.000Z,False,text-classification
JeswinMS4/code_text_classification,10,1,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-09-27T04:07:57.000Z,2023-09-27T04:08:01.000Z,False,text-classification
Mahadih534/arabic-text-classification,10,0,"license:cc, size_categories:100K<n<1M, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2024-09-20T17:22:42.000Z,2024-09-20T17:23:44.000Z,False,text-classification
Lots-of-LoRAs/task1604_ethos_text_classification,10,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2025-01-01T13:34:53.000Z,2025-01-01T13:34:55.000Z,False,text-classification
lewtun/text_classification_dummy,9,0,region:us,2022-03-02T23:29:22.000Z,2021-06-08T08:30:03.000Z,False,text-classification
Lots-of-LoRAs/task681_hope_edi_malayalam_text_classification,9,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:1K<n<10K, format:parquet, modality:text",2025-01-01T14:06:12.000Z,2025-01-01T14:06:14.000Z,False,text-classification
Lots-of-LoRAs/task682_online_privacy_policy_text_classification,9,0,"task_categories:text-generation, annotations_creators:crowdsourced, language_creators:crowdsourced, language:en, license:apache-2.0, size_categories:n<1K, format:parquet, modality:text",2025-01-03T18:15:46.000Z,2025-01-03T18:15:48.000Z,False,text-classification
supergoose/flan_combined_task682_online_privacy_policy_text_classification,9,1,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-03-10T14:31:04.000Z,2025-03-10T14:31:06.000Z,False,text-classification
prathap-reddy/autotrain-data-climate-text-classification,8,0,"task_categories:text-classification, language:en, region:us",2022-09-12T05:57:07.000Z,2022-09-12T06:07:52.000Z,False,text-classification
Veer15/cancer-text-classification,8,1,"license:mit, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2023-11-02T09:04:20.000Z,2023-11-02T14:43:26.000Z,False,text-classification
CesarLeblanc/geoplantbert_text_classification_dataset,8,0,"size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-01-25T12:53:23.000Z,2024-01-25T12:53:30.000Z,False,text-classification
sanjeettoosi/multi-label-text-classification,8,0,"license:mit, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2024-05-08T06:09:14.000Z,2024-05-08T06:22:34.000Z,False,text-classification
violetakastreva/line-level-code-vs-text-classification,8,0,"task_categories:text-classification, task_categories:sentence-similarity, language:en, license:odbl, size_categories:10K<n<100K, format:csv, modality:text, library:datasets",2026-01-29T12:25:31.000Z,2026-01-29T12:29:09.000Z,False,text-classification
BrendaniSpeech/text-classification-demo-flags,7,0,region:us,2022-09-13T08:42:54.000Z,2022-09-13T08:42:54.000Z,False,text-classification
reubenjohn/stackoverflow-unified-text-open-status-classification-sample,7,1,"size_categories:100K<n<1M, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2022-11-25T20:19:43.000Z,2022-11-25T20:23:51.000Z,False,text-classification
reubenjohn/stackoverflow-unified-text-open-status-classification,7,0,"size_categories:1M<n<10M, format:parquet, modality:tabular, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars",2022-11-26T05:01:19.000Z,2022-11-26T05:53:19.000Z,False,text-classification
cwchang/text-classification-dataset-example,7,0,"task_categories:text-classification, language:en, license:apache-2.0, size_categories:10K<n<100K, format:json, modality:text, library:datasets, library:pandas",2023-12-04T07:25:42.000Z,2023-12-04T07:52:20.000Z,False,text-classification
ziq/ai-generated-text-classification,7,0,"size_categories:1K<n<10K, format:parquet, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2023-12-04T15:29:35.000Z,2023-12-04T15:58:27.000Z,False,text-classification
omkar56/text_category_classification,7,1,"license:apache-2.0, size_categories:n<1K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2023-12-05T11:03:56.000Z,2023-12-05T12:35:21.000Z,False,text-classification
mohits01/Text-Intent-Classification,7,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-04-05T10:19:54.000Z,2024-04-05T10:23:09.000Z,False,text-classification
MattNandavong/swin-text-classification-dataset,7,0,"task_categories:text-classification, language:en, size_categories:n<1K, format:json, modality:text, library:datasets, library:pandas, library:mlcroissant",2024-04-17T09:23:50.000Z,2024-04-17T09:28:07.000Z,False,text-classification
palashsharma15/synthetic-domain-text-classification,7,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, library:distilabel",2024-12-31T07:19:35.000Z,2024-12-31T07:19:37.000Z,False,text-classification
amruta333/text_classification,6,0,"task_categories:text-classification, language:en, license:apache-2.0, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas",2024-03-04T07:16:21.000Z,2024-03-04T07:31:50.000Z,False,text-classification
AkashPrasadMishra/Hierarchical_Text_Classification_Intent_Classification,6,0,"task_categories:text-classification, language:hi, language:en, license:apache-2.0, size_categories:1K<n<10K, format:csv, modality:text, library:datasets",2024-11-08T14:12:16.000Z,2024-11-09T06:28:07.000Z,False,text-classification
sobamchan/ja-toxic-text-classification-open2ch,6,1,"size_categories:1K<n<10K, format:csv, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2025-03-07T15:42:56.000Z,2025-03-07T15:47:48.000Z,False,text-classification
GudepuRakshithaReddy/emotion-text-classification,6,0,"task_categories:text-classification, language:en, size_categories:10K<n<100K, region:us",2025-06-07T05:31:17.000Z,2025-06-07T05:37:03.000Z,False,text-classification
AmruthaS/TextClassification,5,1,"size_categories:n<1K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-05-08T12:18:07.000Z,2023-05-24T18:26:59.000Z,False,text-classification
mindchain/Text_Classification_Deutsch_Beispiel,5,0,"language:de, license:apache-2.0, size_categories:1K<n<10K, region:us",2023-07-14T10:12:40.000Z,2023-07-14T10:16:15.000Z,False,text-classification
youlun77/1000_TextClassification,5,0,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-07-28T08:03:46.000Z,2023-07-28T08:03:48.000Z,False,text-classification
rashikadabas/autotrain-data-hinglish_text_classification,5,0,"task_categories:text-classification, language:en, region:us",2023-08-03T10:01:44.000Z,2023-08-03T10:18:26.000Z,False,text-classification
AlekseyKorshuk/ai-text-classification,5,1,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-11-25T05:36:29.000Z,2023-11-25T05:54:06.000Z,False,text-classification
dumyy/text-classification-subject,5,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2023-12-04T14:10:44.000Z,2023-12-07T16:55:33.000Z,False,text-classification
jeanvydes/llm-routing-text-classification,5,0,"task_categories:text-classification, language:en, license:unlicense, size_categories:100K<n<1M, format:json, modality:text, library:datasets, library:pandas",2024-02-05T05:23:04.000Z,2024-02-11T05:45:00.000Z,False,text-classification
SamagraDataGov/text_classification_test,5,0,"size_categories:n<1K, format:csv, modality:tabular, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2024-06-05T11:26:34.000Z,2023-07-27T18:10:59.000Z,False,text-classification
SamagraDataGov/text_classification_test_dataset,5,0,region:us,2024-06-06T07:44:49.000Z,2024-06-06T07:44:49.000Z,False,text-classification
GuillermoTBB/charles-dickens-text-classification,5,1,"task_categories:text-classification, language:en, license:apache-2.0, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas",2024-08-26T08:39:04.000Z,2024-08-28T10:27:17.000Z,False,text-classification
ViravirastSHZ/Hafez-text-classification-dataset,5,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2024-09-01T05:11:01.000Z,2024-09-01T05:11:09.000Z,False,text-classification
heroiclunatic/financial-text-sentiment-classification,5,0,region:us,2024-12-12T11:17:39.000Z,2024-12-12T11:17:39.000Z,False,text-classification
aisingapore/NLU-Question-Answering,1283,0,"task_categories:text-generation, task_categories:question-answering, language:id, language:ta, language:th, language:vi, license:apache-2.0, license:cc-by-4.0",2024-12-11T07:30:04.000Z,2025-12-29T08:51:33.000Z,False,question-answering
Malikeh1375/medical-question-answering-datasets,686,71,"task_categories:question-answering, language:en, size_categories:1M<n<10M, format:parquet, modality:text, library:datasets, library:dask, library:mlcroissant",2023-10-27T16:21:07.000Z,2023-11-02T03:13:38.000Z,False,question-answering
petkopetkov/medical-question-answering-split,427,0,"size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-03-11T12:05:27.000Z,2025-03-11T12:09:56.000Z,False,question-answering
petkopetkov/medical-question-answering-synthetic,400,2,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-03-13T12:40:40.000Z,2025-04-07T13:21:00.000Z,False,question-answering
petkopetkov/medical-question-answering-full,385,0,"size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-02-17T13:47:30.000Z,2025-02-17T13:51:29.000Z,False,question-answering
mdarifulshifat/medical-question-answering,383,0,"license:mit, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2024-12-05T10:23:21.000Z,2024-12-05T10:24:50.000Z,False,question-answering
bhatia1289/medical-question-answering-datasets-alpaca,382,0,"size_categories:100K<n<1M, format:json, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-02-21T10:29:24.000Z,2025-02-21T10:30:40.000Z,False,question-answering
petkopetkov/medical-question-answering-rl,381,0,"size_categories:1K<n<10K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-03-24T15:26:58.000Z,2025-04-01T20:11:22.000Z,False,question-answering
petkopetkov/medical-question-answering,379,0,"size_categories:10K<n<100K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-03-05T09:13:10.000Z,2025-03-05T12:02:25.000Z,False,question-answering
petkopetkov/medical-question-answering-eval,377,0,"size_categories:n<1K, format:parquet, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars, region:us",2025-04-07T11:52:22.000Z,2025-04-07T11:56:05.000Z,False,question-answering
NTQAI/Vietnamese-audio-question-answering,267,3,"license:other, modality:audio, region:us",2026-01-27T07:20:38.000Z,2026-01-27T09:44:52.000Z,False,question-answering
nirantk/chaii-hindi-and-tamil-question-answering,257,0,"task_categories:question-answering, language:hi, language:ta, size_categories:1K<n<10K, format:json, modality:text, library:datasets, library:pandas",2024-03-06T05:08:49.000Z,2024-03-06T05:14:14.000Z,False,question-answering
AswiN037/tamil-question-answering-dataset,99,4,"license:afl-3.0, size_categories:1K<n<10K, format:csv, modality:text, library:datasets, library:pandas, library:mlcroissant, library:polars",2022-07-01T07:22:29.000Z,2022-07-01T07:53:56.000Z,False,question-answering
RUCAIBox/Question-Answering,76,1,"task_categories:question-answering, multilinguality:monolingual, language:en, region:us",2022-08-13T02:08:53.000Z,2023-03-03T14:42:19.000Z,False,question-answering
PrimeIntellect/stackexchange-question-answering,69,11,"license:mit, size_categories:100K<n<1M, format:parquet, modality:text, library:datasets, library:dask, library:mlcroissant, library:polars",2025-02-05T01:37:03.000Z,2025-02-06T21:47:00.000Z,False,question-answering
kurumikz/Question-Answering_Kazakh,55,0,"task_categories:question-answering, task_categories:text-generation, language:kk, license:cc-by-4.0, size_categories:1K<n<10K, format:json, modality:text, library:datasets",2026-03-10T07:10:07.000Z,2026-04-07T19:19:57.000Z,False,question-answering
